month,store,category,revenue,expense
2026-01,Downtown,Rent,41811.89,6978.25
2026-01,Downtown,Wages,41811.89,15402.92
2026-01,Downtown,Coffee Beans & Supplies,41811.89,9804.25
2026-01,Downtown,Utilities,41811.89,2166.09
2026-01,Downtown,Marketing,41811.89,1900.03
2026-01,Downtown,Equipment,41811.89,2109.3
2026-01,Uptown,Rent,29731.99,5345.46
2026-01,Uptown,Wages,29731.99,9784.81
2026-01,Uptown,Coffee Beans & Supplies,29731.99,6943.69
2026-01,Uptown,Utilities,29731.99,1881.05
2026-01,Uptown,Marketing,29731.99,1493.47
2026-01,Uptown,Equipment,29731.99,1603.9
2026-01,Airport,Rent,55278.87,9351.69
2026-01,Airport,Wages,55278.87,19847.02
2026-01,Airport,Coffee Beans & Supplies,55278.87,11345.06
2026-01,Airport,Utilities,55278.87,3520.68
2026-01,Airport,Marketing,55278.87,2754.28
2026-01,Airport,Equipment,55278.87,2728.18
2026-01,Mall Kiosk,Rent,16878.68,3298.16
2026-01,Mall Kiosk,Wages,16878.68,5843.64
2026-01,Mall Kiosk,Coffee Beans & Supplies,16878.68,3601.97
2026-01,Mall Kiosk,Utilities,16878.68,987.76
2026-01,Mall Kiosk,Marketing,16878.68,875.38
2026-01,Mall Kiosk,Equipment,16878.68,865.52
2026-01,University,Rent,26048.29,4830.09
2026-01,University,Wages,26048.29,10483.66
2026-01,University,Coffee Beans & Supplies,26048.29,5567.59
2026-01,University,Utilities,26048.29,1506.86
2026-01,University,Marketing,26048.29,1228.22
2026-01,University,Equipment,26048.29,1358.57
2026-02,Downtown,Rent,41818.82,7467.35
2026-02,Downtown,Wages,41818.82,13775.8
2026-02,Downtown,Coffee Beans & Supplies,41818.82,8669.17
2026-02,Downtown,Utilities,41818.82,2623.4
2026-02,Downtown,Marketing,41818.82,2199.73
2026-02,Downtown,Equipment,41818.82,2170.44
2026-02,Uptown,Rent,27753.77,5076.86
2026-02,Uptown,Wages,27753.77,9793.16
2026-02,Uptown,Coffee Beans & Supplies,27753.77,6199.3
2026-02,Uptown,Utilities,27753.77,1766.81
2026-02,Uptown,Marketing,27753.77,1409.41
2026-02,Uptown,Equipment,27753.77,1453.64
2026-02,Airport,Rent,51496.5,9456.97
2026-02,Airport,Wages,51496.5,18820.25
2026-02,Airport,Coffee Beans & Supplies,51496.5,10173.64
2026-02,Airport,Utilities,51496.5,3020.65
2026-02,Airport,Marketing,51496.5,2490.05
2026-02,Airport,Equipment,51496.5,2459.68
2026-02,Mall Kiosk,Rent,16508.24,3282.44
2026-02,Mall Kiosk,Wages,16508.24,5427.7
2026-02,Mall Kiosk,Coffee Beans & Supplies,16508.24,3877.98
2026-02,Mall Kiosk,Utilities,16508.24,873.81
2026-02,Mall Kiosk,Marketing,16508.24,806.06
2026-02,Mall Kiosk,Equipment,16508.24,834.82
2026-02,University,Rent,25098.29,4742.61
2026-02,University,Wages,25098.29,9272.24
2026-02,University,Coffee Beans & Supplies,25098.29,5386.84
2026-02,University,Utilities,25098.29,1457.16
2026-02,University,Marketing,25098.29,1330.28
2026-02,University,Equipment,25098.29,1238.11
2026-03,Downtown,Rent,37165.79,6159.14
2026-03,Downtown,Wages,37165.79,12170.81
2026-03,Downtown,Coffee Beans & Supplies,37165.79,8461.03
2026-03,Downtown,Utilities,37165.79,2252.18
2026-03,Downtown,Marketing,37165.79,1948.11
2026-03,Downtown,Equipment,37165.79,1802.71
2026-03,Uptown,Rent,29988.16,5634.25
2026-03,Uptown,Wages,29988.16,10268.58
2026-03,Uptown,Coffee Beans & Supplies,29988.16,6808.34
2026-03,Uptown,Utilities,29988.16,1715.92
2026-03,Uptown,Marketing,29988.16,1461.3
2026-03,Uptown,Equipment,29988.16,1459.34
2026-03,Airport,Rent,48921.98,9106.13
2026-03,Airport,Wages,48921.98,16560.07
2026-03,Airport,Coffee Beans & Supplies,48921.98,10772.25
2026-03,Airport,Utilities,48921.98,3034.1
2026-03,Airport,Marketing,48921.98,2522.56
2026-03,Airport,Equipment,48921.98,2560.03
2026-03,Mall Kiosk,Rent,17146.49,2994.92
2026-03,Mall Kiosk,Wages,17146.49,5967.78
2026-03,Mall Kiosk,Coffee Beans & Supplies,17146.49,3326.68
2026-03,Mall Kiosk,Utilities,17146.49,924.58
2026-03,Mall Kiosk,Marketing,17146.49,777.95
2026-03,Mall Kiosk,Equipment,17146.49,797.48
2026-03,University,Rent,25511.98,4301.09
2026-03,University,Wages,25511.98,8692.82
2026-03,University,Coffee Beans & Supplies,25511.98,6123.08
